population;site;sample_type;substrate;L;Z;structure;species;hybride_score
umba_f;umba;systematic;fucales;27.9;0.667;0.059;edulis;2
umba_f;umba;systematic;fucales;22.9;0;0.989;trossulus;8
umba_f;umba;systematic;fucales;34.2;0.774;0.047;edulis;1
umba_f;umba;systematic;fucales;35;0.838;0.011;edulis;0
umba_f;umba;systematic;fucales;20.2;0.372;0.989;trossulus;8
umba_f;umba;systematic;fucales;27.9;0;0.989;trossulus;8
umba_f;umba;systematic;fucales;34.7;0;0.479;hybrid;4
umba_f;umba;systematic;fucales;33.8;0.528;0.222;hybrid;2
umba_f;umba;systematic;fucales;33.5;0;0.99;trossulus;8
umba_f;umba;systematic;fucales;37.9;0.958;0.011;edulis;0
umba_f;umba;systematic;fucales;37.5;0.919;0.01;edulis;0
umba_f;umba;systematic;fucales;39.1;0.713;0.01;edulis;0
umba_f;umba;systematic;fucales;20.2;0;0.989;trossulus;8
umba_f;umba;systematic;fucales;21.5;0.506;0.989;trossulus;8
umba_f;umba;systematic;fucales;19.5;0;0.859;hybrid;6
umba_f;umba;systematic;fucales;31.8;0;0.973;trossulus;8
umba_f;umba;systematic;fucales;38.7;0.706;0.012;edulis;0
umba_f;umba;systematic;fucales;21;0;0.99;trossulus;8
umba_f;umba;systematic;fucales;22.4;0;0.99;trossulus;8
umba_f;umba;systematic;fucales;25.2;0;0.974;trossulus;7
umba_f;umba;systematic;fucales;55.5;0.685;0.011;edulis;0
umba_f;umba;systematic;fucales;38.1;0.844;0.043;edulis;1
umba_f;umba;systematic;fucales;15.4;0;0.734;hybrid;5
umba_f;umba;systematic;fucales;29.2;0;0.99;trossulus;8
umba_f;umba;systematic;fucales;31.1;0;0.976;trossulus;7
umba_f;umba;systematic;fucales;41.3;1;0.013;edulis;1
umba_f;umba;systematic;fucales;48.1;0.883;0.012;edulis;0
umba_f;umba;systematic;fucales;20.3;0;0.989;trossulus;8
umba_f;umba;systematic;fucales;28.4;0;0.989;trossulus;8
umba_f;umba;systematic;fucales;25.1;0;0.972;trossulus;7
umba_f;umba;systematic;fucales;32.2;0.731;0.011;edulis;0
umba_g;umba;systematic;ground;30;1;0.013;edulis;1
umba_g;umba;systematic;ground;45.3;0.746;0.011;edulis;0
umba_g;umba;systematic;ground;50.9;1;0.522;hybrid;4
umba_g;umba;systematic;ground;47.4;1;0.042;edulis;1
umba_g;umba;systematic;ground;53.2;1;0.011;edulis;0
umba_g;umba;systematic;ground;49.3;0.844;0.99;trossulus;8
chupa_g;chupa;systematic;ground;14.2;0.593;0.99;trossulus;8
chupa_g;chupa;systematic;ground;16.5;0;0.99;trossulus;8
chupa_g;chupa;systematic;ground;17.8;0;0.99;trossulus;8
chupa_g;chupa;systematic;ground;17.2;1.026;0.011;edulis;0
chupa_g;chupa;systematic;ground;16.6;0.861;0.989;trossulus;8
chupa_g;chupa;systematic;ground;17.3;0.829;0.916;trossulus;7
chupa_g;chupa;systematic;ground;14.7;0.635;0.989;trossulus;8
chupa_g;chupa;systematic;ground;18.4;0.769;0.524;hybrid;4
chupa_g;chupa;systematic;ground;14.5;0.934;0.011;edulis;0
chupa_g;chupa;systematic;ground;13.5;0;0.986;trossulus;7
chupa_g;chupa;systematic;ground;17.5;0.458;0.99;trossulus;8
chupa_g;chupa;systematic;ground;11.9;0.7;0.011;edulis;0
chupa_g;chupa;systematic;ground;15.6;0.517;0.99;trossulus;8
chupa_g;chupa;systematic;ground;12;1;0.016;edulis;1
chupa_g;chupa;systematic;ground;18.8;0.875;0.011;edulis;0
chupa_g;chupa;systematic;ground;12;0.444;0.734;hybrid;5
chupa_g;chupa;systematic;ground;19.7;1;0.01;edulis;0
chupa_g;chupa;systematic;ground;18.4;0.547;0.942;trossulus;7
chupa_g;chupa;systematic;ground;34.2;0;0.907;hybrid;6
chupa_g;chupa;systematic;ground;35.7;0.912;0.607;hybrid;4
chupa_f;chupa;systematic;fucales;27;0;0.976;trossulus;7
chupa_f;chupa;systematic;fucales;16.9;0;0.99;trossulus;8
chupa_f;chupa;systematic;fucales;18;0;0.989;trossulus;8
chupa_f;chupa;systematic;fucales;19.3;0;0.874;hybrid;8
chupa_f;chupa;systematic;fucales;32.1;0.966;0.011;edulis;0
chupa_f;chupa;systematic;fucales;15.2;0;0.99;trossulus;8
chupa_f;chupa;systematic;fucales;21.2;0;0.99;trossulus;8
chupa_f;chupa;systematic;fucales;23.7;0;0.988;trossulus;8
chupa_f;chupa;systematic;fucales;25.5;0;0.99;trossulus;8
chupa_f;chupa;systematic;fucales;24;0;0.666;hybrid;5
chupa_f;chupa;systematic;fucales;17.7;0;0.99;trossulus;8
chupa_f;chupa;systematic;fucales;18;0.493;0.985;trossulus;8
chupa_f;chupa;systematic;fucales;14.8;0.603;0.985;trossulus;8
chupa_f;chupa;systematic;fucales;11.4;0.532;0.989;trossulus;8
chupa_f;chupa;systematic;fucales;13.5;0.552;0.989;trossulus;8
chupa_f;chupa;systematic;fucales;13.9;0;0.99;trossulus;8
chupa_f;chupa;systematic;fucales;35.3;0;0.989;trossulus;8
chupa_f;chupa;systematic;fucales;28.1;0;0.973;trossulus;8
chupa_f;chupa;systematic;fucales;20.7;0;0.984;trossulus;8
chupa_f;chupa;systematic;fucales;20.8;0;0.827;hybrid;6
chupa_f;chupa;systematic;fucales;17.4;0.571;0.99;trossulus;8
chupa_f;chupa;systematic;fucales;17.5;0;0.593;hybrid;5
chupa_f;chupa;systematic;fucales;14.8;0.415;0.969;trossulus;8
chupa_f;chupa;systematic;fucales;13.8;0.636;0.976;trossulus;7
chupa_f;chupa;systematic;fucales;18.4;0;0.976;trossulus;7
chupa_f;chupa;systematic;fucales;15.5;0;0.99;trossulus;8
chupa_f;chupa;systematic;fucales;14.7;0.811;0.989;trossulus;8
chupa_f;chupa;systematic;fucales;13;0.46;0.846;hybrid;6
chupa_f;chupa;systematic;fucales;11.7;0;0.971;trossulus;7
chupa_f;chupa;systematic;fucales;11.5;0;0.976;trossulus;7
chupa_f;chupa;systematic;fucales;8.5;0.5;0.99;trossulus;8
chupa_f;chupa;systematic;fucales;6.2;NA;0.973;trossulus;7
chupa_f;chupa;systematic;fucales;18.8;NA;0.99;trossulus;8
chupa_g;chupa;systematic;ground;33.7;1;0.398;hybrid;3
chupa_g;chupa;systematic;ground;33.1;1;0.01;edulis;0
chupa_g;chupa;systematic;ground;18.3;0;0.042;edulis;1
chupa_g;chupa;systematic;ground;23.2;1;0.976;trossulus;7
chupa_g;chupa;systematic;ground;26.1;0.891;0.497;hybrid;4
chupa_g;chupa;systematic;ground;29;1;0.011;edulis;0
chupa_g;chupa;systematic;ground;25.4;1;0.011;edulis;0
chupa_g;chupa;systematic;ground;31.2;1.027;0.011;edulis;0
chupa_g;chupa;systematic;ground;18.6;0.5;0.011;edulis;0
chupa_g;chupa;systematic;ground;17.9;0.733;0.94;trossulus;7
chupa_g;chupa;systematic;ground;19.2;1;0.941;trossulus;7
chupa_g;chupa;systematic;ground;35.5;0.987;0.809;hybrid;6
chupa_g;chupa;systematic;ground;29.5;0.808;0.089;hybrid;0
chupa_g;chupa;systematic;ground;37.1;1;0.044;edulis;1
chupa_g;chupa;systematic;ground;34.1;0.938;0.041;edulis;1
chupa_g;chupa;systematic;ground;11.2;0.682;0.011;edulis;0
chupa_g;chupa;systematic;ground;21.7;0.947;0.988;trossulus;8
chupa_g;chupa;systematic;ground;23.4;1.022;0.932;trossulus;7
chupa_g;chupa;systematic;ground;31.3;0;0.976;trossulus;7
chupa_g;chupa;systematic;ground;38.9;1;0.989;trossulus;8
chupa_g;chupa;systematic;ground;41.5;0.927;0.018;edulis;2
